date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-02-19,154674,142386,134319,129741,127550,127595,129353,132515,135029,147485,159065,163763,163873,164967,164703,157106,151774,150036,154765,172530,183671,185086,177828,164709.0
2017-02-20,149848,138843,132696,130347,130695,135242,151914,179900,197353,204788,206920,206115,203451,202634,195753,192152,189654,188023,189079,204046,211595,208423,192372,174429.0
2017-02-21,161355,150154,143276,141251,140281,143342,159367,185336,200063,205672,207167,204537,201466,201056,193157,189416,187119,186337,187441,204979,212564,209037,193875,175862.0
2017-02-22,161895,151912,145351,141964,141780,144847,158667,184420,198424,206209,207028,204771,202063,200252,194477,190281,187346,186686,188793,204757,210124,207975,192812,174930.0
2017-02-23,163247,150780,144265,141455,140573,144559,157444,182330,196483,203285,206466,206838,205911,205907,198755,194533,192555,191894,192674,206306,211026,208322,192227,175120.0
2017-02-24,161679,152051,144212,142481,141858,145367,158324,182759,196673,204184,206459,206666,204927,202565,195480,189377,185645,184266,183322,197572,202984,201649,187282,173297.0
2017-02-25,163272,154428,144746,140365,137461,136564,140032,146620,154589,171599,180835,182168,178587,177513,172434,166058,161530,159367,159680,174143,181796,182522,174756,163529.0
2017-02-26,151538,141408,133207,128571,126492,126600,128666,132401,134551,147256,157960,162680,160896,161568,160715,152721,149758,147097,150946,168406,179459,181485,176339,164105.0
2017-02-27,150314,139528,133723,130716,130895,134823,150385,172428,186119,197210,200502,200384,198273,197530,191280,186431,183913,182724,182727,197333,204477,201647,186866,170207.0
2017-02-28,159094,148493,142141,139006,138611,141942,154130,173244,184201,194655,197597,199766,198255,198201,191541,185651,182633,182076,182045,196387,203135,201648,187690,171794.0
2017-03-01,158953,148284,143527,141278,140465,143918,157684,182259,196715,204106,206486,204199,201632,200659,193931,189144,185615,183753,183585,200679,209226,207300,191994,175611.0
2017-03-02,162729,152027,144795,142511,141602,145034,158550,182061,196708,202643,204246,203021,199476,197367,190210,186317,183541,182672,183606,199894,209391,205816,191447,174495.0
2017-03-03,163127,152142,144863,142051,141162,143653,156807,180894,193868,200838,204402,205986,205855,204930,198591,194293,191792,191655,193000,204163,209786,205116,191533,177450.0
2017-03-04,165230,153601,144090,140208,137792,138140,140043,146155,153585,170895,183635,187980,187232,187749,182965,174358,167943,164857,166348,179417,189072,188943,180153,167741.0
2017-03-05,155845,143906,134880,130368,127753,127135,129658,131362,134980,148595,160832,166782,167810,168655,167242,158766,153318,150885,153873,169913,182409,184985,177705,164910.0
2017-03-06,149242,139645,132375,129120,129638,133742,149892,173557,190143,197059,200021,199573,198097,196690,189441,186398,183205,181628,181183,196007,206687,202131,188077,170932.0
2017-03-07,158095,148217,141218,138500,137238,141113,154706,177909,192715,198301,200995,199628,198337,195830,188397,183951,181733,180354,181667,195816,205898,201883,186272,169101.0
2017-03-08,156676,147675,141464,139772,138375,141756,155372,176316,189967,195211,196202,195225,193429,191701,184988,180269,177310,176329,175355,188577,200941,197522,182687,167300.0
2017-03-09,155836,146434,140030,137212,136896,139989,152859,172560,186008,192670,193270,192949,191884,191408,184730,180617,178100,176956,175867,188025,199568,196357,181696,165029.0
2017-03-10,154749,145871,140319,137858,137660,140171,152874,173214,185681,189271,190711,191465,190399,189703,182595,177500,174597,172072,170612,179205,189184,188138,175405,162128.0
